lead_id,company,manager,industry,source,region,stage,budget,deal_value,last_activity_days,meetings_booked,email_open_rate,employees,bitrix_owner
LD-1001,Orion Retail,Ali,Retail,Bitrix24 Web Form,Tashkent,Qualified,28000,34000,1,2,78,120,Ali
LD-1002,Neo Logistics,Madina,Logistics,Bitrix24 Call,Samarkand,Proposal,42000,51000,3,1,61,300,Madina
LD-1003,Avicenna Clinic,Bek,Healthcare,Referral,Bukhara,New,15000,22000,6,0,42,85,Bek
LD-1004,FinCore,Ali,Finance,Landing Page,Tashkent,Negotiation,63000,76000,1,3,84,460,Ali
LD-1005,EduNova,Madina,Education,Bitrix24 Import,Namangan,Contacted,19000,25000,8,1,57,150,Madina
LD-1006,BuildPro,Sardor,Construction,Exhibition,Fergana,Qualified,48000,56000,2,2,69,215,Sardor
LD-1007,AgroLink,Bek,Agriculture,Telegram,Andijan,Proposal,36000,43000,4,1,52,190,Bek
LD-1008,Silk Road Travel,Sardor,Travel,Bitrix24 Web Form,Khiva,Won,22000,27000,0,2,88,70,Sardor
LD-1009,UrbanSoft,Ali,Technology,Website Chat,Tashkent,Contacted,31000,39000,5,1,64,140,Ali
LD-1010,MedHouse,Madina,Healthcare,Bitrix24 Web Form,Samarkand,Qualified,54000,62000,2,2,73,260,Madina
LD-1011,Textile Hub,Bek,Manufacturing,Referral,Fergana,Lost,18000,24000,10,0,35,110,Bek
LD-1012,GreenEnergy,Sardor,Energy,Conference,Tashkent,Proposal,67000,82000,1,3,81,520,Sardor
